epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,4770.55,1.83972,0.29183,0.46553,0.85819,0.00259,0.00159,0.85898,0.65688,0.72805,0.39998,0,0,0,0,1.75833,0,5.78953,0.81961,0.00364,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4859.97,1.84063,0.28291,0.46049,0.85416,0.00256,0,0.86007,0.65859,0.7287,0.40089,0,0,0,0,1.75717,0,5.92093,0.81635,0.00364,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4948.05,1.82394,0.29187,0.45278,0.84201,0.00256,0.00099,0.86047,0.6563,0.72899,0.40064,0,0,0,0,1.75706,0,6.02887,0.81741,0.00364,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5034.79,1.82337,0.28285,0.45806,0.83811,0.00253,0.00158,0.86144,0.65653,0.72832,0.40115,0,0,0,0,1.75596,0,6.12193,0.8206,0.00364,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5121.03,1.80078,0.28597,0.43559,0.83812,0.00256,0.0002,0.86231,0.65709,0.72879,0.40139,0,0,0,0,1.75663,0,6.19374,0.82078,0.00364,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5212.27,1.79503,0.27972,0.43919,0.82535,0.00253,0.00032,0.86216,0.65923,0.72958,0.40183,0,0,0,0,1.75622,0,6.20837,0.81642,0.00364,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5299.28,1.80512,0.27972,0.42251,0.83366,0.00253,0.00031,0.86242,0.6592,0.72996,0.40221,0,0,0,0,1.75491,0,6.25795,0.81858,0.00364,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5386.2,1.80895,0.28175,0.43302,0.82768,0.00252,0,0.8642,0.65925,0.73118,0.40299,0,0,0,0,1.75495,0,6.26723,0.8147,0.00363,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5474.57,1.80101,0.28395,0.42966,0.82155,0.00248,0.00121,0.86254,0.66182,0.732,0.40345,0,0,0,0,1.75434,0,6.31141,0.81413,0.00363,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5562.65,1.7889,0.28191,0.41789,0.8225,0.00247,0.00024,0.86543,0.66067,0.732,0.40347,0,0,0,0,1.7537,0,6.36456,0.81342,0.00363,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5650.99,1.79097,0.2904,0.41894,0.81755,0.00245,0.00087,0.86536,0.6598,0.7319,0.40345,0,0,0,0,1.75342,0,6.43381,0.81462,0.00363,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5739.88,1.78898,0.26358,0.41256,0.81679,0.00247,0,0.86623,0.66017,0.73217,0.40383,0,0,0,0,1.7536,0,6.47675,0.81351,0.00363,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5827.93,1.77522,0.27929,0.41159,0.80664,0.00245,0,0.86795,0.65837,0.73207,0.40394,0,0,0,0,1.75422,0,6.54496,0.81356,0.00363,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5916.41,1.78086,0.273,0.39966,0.8139,0.00247,0.00062,0.86325,0.66156,0.73229,0.40374,0,0,0,0,1.7533,0,6.60921,0.81614,0.00363,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6004.95,1.77243,0.27398,0.3935,0.80606,0.00243,0,0.86463,0.6605,0.73222,0.40359,0,0,0,0,1.75382,0,6.64819,0.81643,0.00363,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6093.99,1.7723,0.27011,0.38893,0.8094,0.00244,0,0.86331,0.66156,0.7324,0.40387,0,0,0,0,1.75277,0,6.68874,0.81658,0.00363,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6182.64,1.77283,0.26401,0.39281,0.80393,0.00239,0,0.86224,0.66222,0.73253,0.40394,0,0,0,0,1.75272,0,6.73996,0.81787,0.00363,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6272.49,1.7654,0.26934,0.38742,0.80286,0.00239,0,0.8635,0.66272,0.73293,0.40418,0,0,0,0,1.75284,0,6.77106,0.81767,0.00363,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6365.71,1.75512,0.26296,0.39144,0.7943,0.00238,0.00019,0.86631,0.66175,0.73309,0.4042,0,0,0,0,1.75276,0,6.81241,0.81773,0.00363,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6452.85,1.73665,0.26132,0.3691,0.78651,0.00238,0,0.86564,0.66285,0.73318,0.40415,0,0,0,0,1.75273,0,6.86066,0.81648,0.00363,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6540.74,1.76468,0.26586,0.38473,0.79543,0.00233,0.00625,0.86467,0.66412,0.73347,0.40405,0,0,0,0,1.75256,0,6.8952,0.81733,0.00363,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6628.5,1.7452,0.25917,0.37125,0.78938,0.00236,0,0.86703,0.66287,0.73337,0.40388,0,0,0,0,1.75268,0,6.93402,0.81806,0.00363,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6718.56,1.74208,0.25984,0.37383,0.78301,0.00231,0,0.86722,0.66343,0.73338,0.40411,0,0,0,0,1.75252,0,6.95587,0.81861,0.00363,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6807.83,1.73495,0.25239,0.36089,0.78157,0.00233,0,0.8672,0.66401,0.73345,0.40413,0,0,0,0,1.75273,0,6.98755,0.8183,0.00363,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6894.86,1.69712,0.25854,0.35976,0.76431,0.0023,0,0.86657,0.66333,0.73324,0.40407,0,0,0,0,1.75306,0,7.0188,0.81895,0.00364,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6983.54,1.71609,0.25871,0.35824,0.77305,0.00232,0,0.86623,0.66328,0.73327,0.40391,0,0,0,0,1.75362,0,7.04553,0.81799,0.00364,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7073.2,1.74052,0.25705,0.35489,0.77611,0.00228,0,0.86789,0.66287,0.73355,0.40404,0,0,0,0,1.75381,0,7.07551,0.81832,0.00364,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7164.87,1.70729,0.25324,0.34815,0.76716,0.00228,0,0.86791,0.66291,0.73348,0.40398,0,0,0,0,1.75444,0,7.10093,0.818,0.00364,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7258.08,1.70184,0.24879,0.33955,0.76924,0.00229,0,0.86686,0.66312,0.73339,0.40387,0,0,0,0,1.75441,0,7.13541,0.81904,0.00364,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
