epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,26484.9,2.01664,0.40178,0.61103,1.06657,0.00331,0.0052,0.82951,0.58646,0.66933,0.3616,0,0,0,0,1.82353,0,5.02122,0.94045,0.00439,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,27412.9,1.99371,0.40524,0.6061,1.06003,0.00329,0.00767,0.82837,0.58616,0.66962,0.3613,0,0,0,0,1.82185,0,4.99946,0.93963,0.00438,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,27855.7,2.00569,0.39995,0.60408,1.05231,0.00328,0.00461,0.83152,0.58696,0.67056,0.36208,0,0,0,0,1.82035,0,5.03617,0.93629,0.00438,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,28281.4,2.00464,0.39757,0.60941,1.05359,0.00325,0.00488,0.83433,0.5851,0.67089,0.36292,0,0,0,0,1.81991,0,5.03814,0.93518,0.00438,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,28705.3,2.00527,0.38732,0.58806,1.05115,0.00325,0.00103,0.83527,0.58525,0.67163,0.36392,0,0,0,0,1.81933,0,5.09539,0.93331,0.00438,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,29132.9,2.01697,0.39568,0.59017,1.05753,0.00322,0.00403,0.83514,0.58495,0.67202,0.36407,0,0,0,0,1.8174,0,5.14164,0.93328,0.00437,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,29563.7,1.99454,0.39172,0.584,1.05215,0.00321,0.00599,0.83622,0.58496,0.6724,0.36397,0,0,0,0,1.81719,0,5.14989,0.93357,0.00437,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,29992.3,2.00051,0.39288,0.59082,1.04715,0.00321,0.00304,0.83819,0.58565,0.67308,0.36483,0,0,0,0,1.81601,0,5.18341,0.93174,0.00437,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,30415.2,1.96547,0.37251,0.58053,1.03618,0.00326,0.00157,0.83567,0.58686,0.67344,0.36498,0,0,0,0,1.81397,0,5.21873,0.93131,0.00437,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,30842.8,1.99333,0.39002,0.58282,1.03343,0.00319,0.0043,0.83725,0.58565,0.67342,0.36493,0,0,0,0,1.81349,0,5.23061,0.93086,0.00436,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,31267.3,1.96177,0.39701,0.58365,1.02961,0.00327,0.00586,0.84083,0.58382,0.67376,0.36509,0,0,0,0,1.81257,0,5.25069,0.93207,0.00436,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,31696.6,1.97484,0.3904,0.57871,1.03226,0.00322,0.00178,0.8378,0.58674,0.67376,0.36504,0,0,0,0,1.81251,0,5.26877,0.9307,0.00436,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,32122.5,1.97619,0.39666,0.58395,1.02886,0.00318,0.00601,0.83676,0.58691,0.67372,0.36546,0,0,0,0,1.81156,0,5.29042,0.93001,0.00436,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,32549.1,1.96737,0.38365,0.57719,1.02962,0.00322,0.004,0.83631,0.58795,0.67426,0.36542,0,0,0,0,1.8115,0,5.30821,0.9301,0.00436,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,32969.9,1.96639,0.37952,0.57348,1.02875,0.00319,0.0035,0.83805,0.58687,0.67435,0.36601,0,0,0,0,1.81073,0,5.32571,0.92955,0.00436,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
