epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,20625.9,2.01595,0.41943,0.61155,1.04649,0.00327,0.01428,0.83016,0.58626,0.67084,0.36373,0,0,0,0,1.80616,0,4.81267,0.90583,0.00433,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,21054.5,2.00619,0.41549,0.61,1.04482,0.00326,0.01058,0.83113,0.58492,0.67128,0.36487,0,0,0,0,1.79845,0,4.81816,0.91136,0.0043,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,21482.2,2.01162,0.41403,0.60423,1.04316,0.00326,0.01037,0.83223,0.58782,0.67343,0.36605,0,0,0,0,1.8013,0,4.85368,0.9077,0.00432,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,21906.2,2.00053,0.41445,0.61413,1.04114,0.0033,0.00959,0.83358,0.58991,0.67636,0.36676,0,0,0,0,1.80326,0,4.90622,0.90549,0.00432,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,22337.2,1.99835,0.40521,0.60013,1.03704,0.00322,0.01116,0.83257,0.58742,0.6745,0.36591,0,0,0,0,1.80249,0,4.91099,0.9085,0.00432,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,22767.2,1.99552,0.40453,0.60318,1.03481,0.00324,0.01156,0.83201,0.5912,0.67649,0.36723,0,0,0,0,1.80144,0,4.90029,0.9005,0.00432,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,23196.2,1.98613,0.41034,0.58886,1.0293,0.00325,0.0092,0.8393,0.5884,0.6773,0.36811,0,0,0,0,1.79701,0,4.90562,0.90117,0.00429,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,23619.8,1.98096,0.40683,0.60015,1.02373,0.00321,0.01024,0.83435,0.59099,0.67716,0.36804,0,0,0,0,1.79619,0,4.99596,0.90108,0.0043,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,24044.9,1.98436,0.40264,0.60055,1.02465,0.00321,0.00654,0.83527,0.5923,0.67831,0.36849,0,0,0,0,1.79261,0,4.96213,0.90173,0.00429,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,24472.6,1.97979,0.40076,0.57902,1.01443,0.0032,0.00844,0.83216,0.59374,0.67855,0.3692,0,0,0,0,1.79306,0,5.0003,0.89935,0.00429,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
